Regional_Grouping,Region,Region_Code,M49Region_Code,Country,ISO3Code,M49_Code
AUREC,Southern African Development Community (SADC),SDGRC_ECA_SADC,98110,Mauritius,MUS,480
AUREC,Southern African Development Community (SADC),SDGRC_ECA_SADC,98110,Mozambique,MOZ,508
AUREC,Southern African Development Community (SADC),SDGRC_ECA_SADC,98110,Namibia,NAM,516
AUREC,Southern African Development Community (SADC),SDGRC_ECA_SADC,98110,Seychelles,SYC,690
AUREC,Southern African Development Community (SADC),SDGRC_ECA_SADC,98110,South Africa,ZAF,710
AUREC,Southern African Development Community (SADC),SDGRC_ECA_SADC,98110,United Republic of Tanzania,TZA,834
AUREC,Southern African Development Community (SADC),SDGRC_ECA_SADC,98110,Zambia,ZMB,894
AUREC,Southern African Development Community (SADC),SDGRC_ECA_SADC,98110,Zimbabwe,ZWE,716
AUREC,ECA_Southern Africa,SDGRC_ECA_SA,98104,Angola,AGO,24
AUREC,ECA_Southern Africa,SDGRC_ECA_SA,98104,Botswana,BWA,72
AUREC,ECA_Southern Africa,SDGRC_ECA_SA,98104,Eswatini,SWZ,748
AUREC,ECA_Southern Africa,SDGRC_ECA_SA,98104,Lesotho,LSO,426
AUREC,ECA_Southern Africa,SDGRC_ECA_SA,98104,Malawi,MWI,454
AUREC,ECA_Southern Africa,SDGRC_ECA_SA,98104,Mauritius,MUS,480
AUREC,ECA_Southern Africa,SDGRC_ECA_SA,98104,Mozambique,MOZ,508
AUREC,ECA_Southern Africa,SDGRC_ECA_SA,98104,Namibia,NAM,516
AUREC,ECA_Southern Africa,SDGRC_ECA_SA,98104,South Africa,ZAF,710
AUREC,ECA_Southern Africa,SDGRC_ECA_SA,98104,Zambia,ZMB,894
AUREC,ECA_Southern Africa,SDGRC_ECA_SA,98104,Zimbabwe,ZWE,716
AUREC,ECA_West Africa,SDGRC_ECA_WA,98105,Benin,BEN,204
AUREC,ECA_West Africa,SDGRC_ECA_WA,98105,Burkina Faso,BFA,854
AUREC,ECA_West Africa,SDGRC_ECA_WA,98105,Cabo Verde,CPV,132
AUREC,ECA_West Africa,SDGRC_ECA_WA,98105,Côte d'Ivoire,CIV,384
AUREC,ECA_West Africa,SDGRC_ECA_WA,98105,Gambia,GMB,270
AUREC,ECA_West Africa,SDGRC_ECA_WA,98105,Ghana,GHA,288
AUREC,ECA_West Africa,SDGRC_ECA_WA,98105,Guinea,GIN,324
AUREC,ECA_West Africa,SDGRC_ECA_WA,98105,Guinea-Bissau,GNB,624
AUREC,ECA_West Africa,SDGRC_ECA_WA,98105,Liberia,LBR,430
AUREC,ECA_West Africa,SDGRC_ECA_WA,98105,Mali,MLI,466
AUREC,ECA_West Africa,SDGRC_ECA_WA,98105,Niger,NER,562
AUREC,ECA_West Africa,SDGRC_ECA_WA,98105,Nigeria,NGA,566
AUREC,ECA_West Africa,SDGRC_ECA_WA,98105,Senegal,SEN,686
AUREC,ECA_West Africa,SDGRC_ECA_WA,98105,Sierra Leone,SLE,694
AUREC,ECA_West Africa,SDGRC_ECA_WA,98105,Togo,TGO,768
